Circularity,Aspect Ratio,Roundness,Solidity
0.53765891,1.49607475,0.6684158,0.79972637
0.5209433,1.11178448,0.89945491,0.76867128
0.53894949,1.11341141,0.89814061,0.78392847
0.39217946,1.27211443,0.7860928,0.65537941
0.58618122,1.46446993,0.68284092,0.83289864
0.42729687,1.24736346,0.80169095,0.7433138
0.37700138,1.34151056,0.74542835,0.68220946
0.35496057,1.56636747,0.6384198,0.64263587
0.29198505,1.25060739,0.79961146,0.55095478
0.29064478,1.4905688,0.67088483,0.6331061
0.7020456,1.90757955,0.52422453,0.93296037
0.52315202,2.64477764,0.37810362,0.80134384
0.36520732,2.35094358,0.42536112,0.64940421
0.33529178,2.77449263,0.36042626,0.65306122
0.27775883,2.60589783,0.3837449,0.55552663
0.45736494,3.06373112,0.3263994,0.78057939
0.27557305,2.73430358,0.36572384,0.53655055
0.47951352,2.51439612,0.39770981,0.78561768
0.45412764,3.84439201,0.26011915,0.82261591
0.55789794,1.91439321,0.52235873,0.83185186
0.59169495,1.85645646,0.53866063,0.84847825
0.51869654,1.7214584,0.5809028,0.81315361
0.42535324,1.83669813,0.54445528,0.74670935
0.3244669,2.2854088,0.43755848,0.59594509
0.5044465,1.42324789,0.70261829,0.78317554
0.4863803,2.10027144,0.47612893,0.79107237
0.29366746,1.552324,0.64419541,0.56891292
0.44449148,1.18297771,0.84532446,0.69898699
0.44446354,1.18309927,0.84523761,0.6989776
0.27683583,1.855298,0.53899697,0.53345295
0.39490018,1.65587772,0.60390933,0.66935479
0.36857935,1.44858525,0.69032872,0.66674141
0.36848711,1.42332659,0.70257944,0.66473876
